#,"Date Time, GMT-08:00","Temp, °C (LGR S/N: 20546019, SEN S/N: 20546019, LBL: Temperature, -UV)","Intensity, Lux (LGR S/N: 20546019, SEN S/N: 20546019, LBL: Light Intensity, -UV)"
650,2/23/19 3:00,-1.799,0
651,2/23/19 3:30,-1.799,0
652,2/23/19 4:00,-1.684,0
653,2/23/19 4:30,-1.684,0
654,2/23/19 5:00,-1.799,0
655,2/23/19 5:30,-1.684,0
656,2/23/19 6:00,-1.684,0
657,2/23/19 6:30,-1.684,710.4
658,2/23/19 7:00,-1.684,1463.9
659,2/23/19 7:30,-1.456,2152.8
660,2/23/19 8:00,-0.774,4133.4
661,2/23/19 8:30,-0.887,2669.5
662,2/23/19 9:00,0.784,28933.5
663,2/23/19 9:30,0.453,4822.3
664,2/23/19 10:00,3.049,49600.3
665,2/23/19 10:30,5.347,28933.5
666,2/23/19 11:00,8.581,74400.5
667,2/23/19 11:30,11.819,88178.4
668,2/23/19 12:00,14.134,99200.7
669,2/23/19 12:30,17.189,121245.2
670,2/23/19 13:00,24.448,187379
671,2/23/19 13:30,26,165334.4
672,2/23/19 14:00,26.781,143289.8
673,2/23/19 14:30,25.513,115734.1
674,2/23/19 15:00,23.196,88178.4
675,2/23/19 15:30,20.901,60622.6
676,2/23/19 16:00,7.582,3961.1
677,2/23/19 16:30,5.037,4477.8
678,2/23/19 17:00,3.998,2411.1
679,2/23/19 17:30,1.98,527.4
680,2/23/19 18:00,1.439,0
681,2/23/19 18:30,0.784,0
682,2/23/19 19:00,0.674,0
683,2/23/19 19:30,0.01,0
684,2/23/19 20:00,0.01,0
685,2/23/19 20:30,-0.213,0
686,2/23/19 21:00,-0.774,0
687,2/23/19 21:30,-1.001,0
688,2/23/19 22:00,-0.887,0
