Sample,Site,Treatment Group,Data Type,Treatment ,neoxanthin,violaxanthin,antheraxanthin,lutein,zeaxanthin,chlorophyll b,beta-carotene.sum,beta-tocopherol,alpha-tocopherol,V+A+Z,A+Z/V+A+Z,total carotenoids,total tocopherols
3C-mean,3,C,mean,Site Reference,113.4763433,21.43358369,43.40622041,552.5596108,218.929743,290.7553148,318.0124062,6.094308614,21.96074656,283.7695471,0.925158285,1267.817907,28.05505517
3C-dev,3,C,dev,Site Reference,15.8566893,4.407144046,6.890796624,117.9384266,26.33988795,34.42459448,40.84731367,0.971879479,4.22855077,37.12528207,0.00590664,210.5110243,5.199474923
4A (outlier),4,A,sample,UV Filtered,118.3232435,26.90810667,71.07344546,624.3312784,203.336786,310.7908052,214.8458104,7.533684621,22.69598671,301.3183382,0.910698742,1258.81867,30.22967133
4A-2,4,A,sample,UV Filtered,95.57644079,18.97808258,37.6130442,504.6202949,173.4436709,239.2284974,241.2073778,5.596083507,20.77311468,230.0347976,0.917499079,1071.438911,26.36919819
4A-3,4,A,sample,UV Filtered,96.88319447,29.59322332,41.83054796,530.6643075,162.9225193,341.9369959,154.1472973,4.810138836,18.36825301,234.3462906,0.873720112,1016.04109,23.17839184
4A-4,4,A,sample,UV Filtered,107.3386415,18.27281005,46.57955844,530.2858722,167.8226054,390.0516573,169.7980174,6.223411454,21.38342829,232.6749739,0.921466371,1040.097505,27.60683974
4A-mean,4,A,mean,UV Filtered,99.93275893,22.28137198,42.00771686,521.8568249,168.0629319,323.7390502,188.3842308,5.543211266,20.17493199,232.3520207,0.904228521,1042.525835,25.71814326
4A-dev,4,A,dev,UV Filtered,5.263853093,5.178270611,3.662707197,12.18904637,4.29860248,62.90352564,37.89414994,0.578176143,1.301585543,1.774911642,0.021633417,22.68115576,1.865599473
4B,4,B,sample,UV Transmitted,122.9072313,34.93487498,42.23693863,509.8267693,152.6300029,338.1590913,221.2548843,3.387550095,17.7444826,229.8018166,0.847978247,1083.790701,21.1320327
4B-2,4,B,sample,UV Transmitted,108.1381351,34.75901357,34.41387489,395.1190254,114.9922059,285.9496567,145.4944914,2.074620121,11.06094117,184.1650944,0.811261663,832.9167463,13.13556129
4B-3,4,B,sample,UV Transmitted,95.80342791,31.69204415,33.05167822,410.3254081,112.1375451,342.4023676,130.107654,2.19807493,12.3159114,176.8812675,0.820828714,813.1177575,14.51398633
4B-mean,4,B,mean,UV Transmitted,108.9495981,33.7953109,36.56749725,438.4237343,126.5865846,322.1703718,165.6190099,2.553415049,13.70711172,196.9493928,0.826689542,909.9417351,16.26052677
4B-dev,4,B,dev,UV Transmitted,11.07994868,1.4889661,4.047288733,50.86979182,18.45231692,25.67043051,39.83885523,0.591971975,2.900460913,23.41971881,0.015551824,123.1952308,3.490338223
4C,4,C,sample,Site Reference,83.90527996,13.35460213,24.70131039,484.1205066,150.9030045,118.9200257,505.4076936,4.733206964,27.9920514,188.9589171,0.929325367,1262.392397,32.72525837
4C-2,4,C,sample,Site Reference,105.4674144,17.71870356,31.57087692,468.7529354,139.352255,279.0860208,234.5482669,3.028573642,15.5581251,188.6418355,0.906072248,997.4104521,18.58669874
