Sample,Site,Treatment Group,Data Type,Treatment ,neoxanthin,violaxanthin,antheraxanthin,lutein,zeaxanthin,chlorophyll b,chlorophyll a,beta-carotene.sum,beta-tocopherol,alpha-tocopherol,V+A+Z,total carotenoids,total chlorophylls,total tocopherols
14B-dev,14,B,dev,UV Transmitted,0.273769069,0.129564845,0.135318246,1.926966722,0.951566037,0.282187186,4.341111658,1.372302629,1.953016822,2.489643019,1.008909933,4.530609826,4.530609826,4.362152678
14C,14,C,sample,Site Reference,3.916072538,0.710606321,1.724840323,22.72430977,10.12173673,8.371023352,37.06162033,15.36979063,7.759412779,24.09151755,12.55718337,54.56735632,45.43264368,75.63834808
14C-2,14,C,sample,Site Reference,3.679910338,0.641916588,1.455647432,21.96733248,9.408384056,9.461814645,40.89182532,12.49316915,4.578197609,14.81239876,11.50594808,49.64636003,50.35363997,76.38959874
14C-3,14,C,sample,Site Reference,4.523092006,0.729753134,1.554897842,20.60680361,8.45911098,12.51774595,43.54486869,8.063727792,4.393238463,16.02858154,10.74376196,43.93738536,56.06261464,78.48752725
14C-mean,14,C,mean,Site Reference,4.039691627,0.694092014,1.578461866,21.76614862,9.329743922,10.11686132,40.49943811,11.97556252,5.576949617,18.31083261,11.6022978,49.38370057,50.61629943,76.83849136
14C-dev,14,C,dev,Site Reference,0.355152634,0.037712566,0.111153499,0.876095237,0.681038079,1.755114752,2.661278276,3.005059736,1.545080702,4.117605606,0.743454442,4.343640034,4.343640034,1.205704196
15A,15,A,sample,UV Filtered,2.881968392,0.566800217,1.199246762,19.08262464,7.571218666,7.067785131,50.82772475,10.80263144,3.948504314,16.00117918,9.337265646,42.10449012,57.89550988,80.20768442
15A-2,15,A,sample,UV Filtered,3.910032083,0.740828354,1.528401145,20.06673757,7.568578853,9.931342548,43.55262275,12.7014567,3.861535966,17.53257551,9.837808351,46.5160347,53.4839653,81.95047282
15A-3,15,A,sample,UV Filtered,4.467712626,0.560309022,1.524193179,20.39251104,7.945568142,13.16055916,43.77164279,8.177504042,3.814568634,14.92695599,10.03007034,43.06779805,56.93220195,79.64643373
15A-mean,15,A,mean,UV Filtered,3.7532377,0.622645864,1.417280362,19.84729108,7.695121887,10.05322895,46.05066343,10.56053073,3.874869638,16.15357023,9.735048113,43.89610762,56.10389238,80.60153033
15A-dev,15,A,dev,UV Filtered,0.656802635,0.083609647,0.154182608,0.556817244,0.177095524,2.48885731,3.379075672,1.854812924,0.055485924,1.06918366,0.292020932,1.893850394,1.893850394,0.980980794
15B,15,B,sample,UV Transmitted,5.144746475,1.162411635,1.374032352,21.58232631,7.702963179,14.33877025,39.06645698,9.628292825,3.411129993,19.17338329,10.23940717,46.59477278,53.40522722,84.8961545
15B-2,15,B,sample,UV Transmitted,4.308335313,1.005474495,1.229237746,18.26965784,6.746644469,13.72518255,46.96763417,7.747833418,2.177587472,10.83937272,8.98135671,39.30718328,60.69281672,83.2711521
15B-3,15,B,sample,UV Transmitted,4.497752088,1.002478496,1.424585751,18.13383917,6.423751466,15.18328706,45.87601606,7.458289898,2.101490243,11.16077953,8.850815713,38.94069687,61.05930313,84.15436966
15B-mean,15,B,mean,UV Transmitted,4.650277959,1.056788209,1.342618616,19.32860777,6.957786372,14.41574662,43.97003574,8.278138714,2.563402569,13.72451185,9.357193197,41.61421764,58.38578236,84.10722542
15B-dev,15,B,dev,UV Transmitted,0.358091249,0.074697055,0.082786182,1.594583981,0.543158251,0.597752017,3.49587576,0.961993055,0.600238306,3.855167578,0.626091769,3.524961007,3.524961007,0.664241489
15C,15,C,sample,Site Reference,3.820315958,0.504687915,1.405626551,22.49588597,9.400828926,8.8600987,34.44014733,19.07240865,6.405705691,32.066086,11.31114339,56.69975397,43.30024603,83.34960393
15C-2,15,C,sample,Site Reference,5.369895555,0.859316837,2.101733212,18.23290827,7.457697107,13.24558141,46.35116398,6.381703632,6.554962745,32.6286247,10.41874716,40.40325461,59.59674539,83.2711521
15C-3,15,C,sample,Site Reference,3.964327955,0.515265433,1.450461308,19.78748426,8.548708351,11.30669405,42.85209422,11.57496443,5.153096214,16.83057762,10.51443509,45.84121173,54.15878827,76.55944019
15C-mean,15,C,mean,Site Reference,4.384846489,0.626423395,1.652607024,20.17209283,8.469078128,11.13745805,41.21446851,12.34302557,6.03792155,27.17509611,10.74810855,47.64807344,52.35192656,81.06006541
15C-dev,15,C,dev,Site Reference,0.699011736,0.164737139,0.318107203,1.761474295,0.795276072,1.794360659,4.998629335,5.209346528,0.628626186,7.318283474,0.400037684,6.774586566,6.774586566,3.182583772
16A,16,A,sample,UV Filtered,3.811422504,0.661344383,1.676110073,25.62975123,9.011406432,9.853100134,37.13574245,12.2211228,13.06013871,28.31027488,11.34886089,53.01115742,46.98884258,68.43121067
